AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2021,2,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,282,0
2023,2,NETWORK DAT@LINK S.A.S.,1232,"0,01"
2022,3,WIRED S.A.S.,78,0
2022,3,BIBO SOLUTIONS SAS,3,0
2022,2,WIFI ALTERNATIVO VALLE S.A.S,869,"0,01"
2021,4,SOMOS NETWORKS COLOMBIA S.A.S. BIC,360,0
2023,2,AFCV COMUNICACIONES SAS,831,"0,01"
2020,4,NET2COM SAS,521,"0,01"
2022,3,PALSOTEL.NET S.A.S,108,0
2022,3,ORIENTE M�O TELECOMUNICACIONES S.A.S ZOMAC,2218,"0,03"
2022,3,ASOCIACION COMUNITARIA PARA EL DESARROLLO DE ANGELOPOLIS,322,0
2020,3,CSSI TELECOMUNICACIONES SAS,539,"0,01"
2023,2,AUMRED SAS,15,0
2021,4,GTEL TELECOMUNICACIONES S.A.S.,793,"0,01"
2020,3,GARDEN TECHNOLOGY SAS,2292,"0,02"
2022,1,T&T TECNOLOGIAS S.A.S ZOMAC,202,0
2021,1,AUMRED SAS,41,0
2021,1,3NET TELECOMUNICACIONES SAS,250,0
2021,1,IT. TECHNOLOGY R&M S.A.S.,78,0
2021,1,CONEXION TOTAL DE OCCIDENTE S.A.S,922,"0,01"
2020,4,NET&COM LTDA.,320,0
2023,1,TELENET DIGITAL S.A.S.,805,"0,01"
2022,3,UIN-FI.NET SAS,296,0
2023,2,SERTELCON S.A.S.,21,0
2023,2,INTELCOM CALI SAS,704,"0,01"
2023,2,INSITEL S.A.S.,16567,"0,18"
2022,4,INTERNET Y TELEVISION S.A.S.,1986,"0,02"
2023,2,C & C VISION S.A.S.,4500,"0,05"
2023,2,IMPAR T.V S.A.S,1575,"0,02"
2023,1,SOLUCIONES INTEGRALES EN REDES Y TELECOMUNICACIONES SAS,59,0
2021,2,SILCOM TELECOMUNICACIONES S.A.S.,913,"0,01"
2022,1,INGENIERIA GPON TV S.A.S,392,0
2021,1,INGENIERIA E INFORMATICA EMPRESA ASOCIATIVA DE TRABAJO,49,0
2022,3,POWERLINK TELECOMUNICACIONES S.A.S,20,0
2021,1,CABLE NET UNIVERSAT S.A.S,1039,"0,01"
2020,3,TVCABLE TELECOMUNICACIONES S.A.S.,3087,"0,04"
2022,3,MAS NET S.A.S,1663,"0,02"
2021,4,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,2203,"0,03"
2022,3,BT COLOMBIA LTDA.,12,0
2021,4,SISTEMAS AVANZADOS EN TELECOMUNICACIONES S.A.S,3759,"0,04"
2020,4,GARDEN TECHNOLOGY SAS,3070,"0,03"
2020,4,INFRATEL COMUNICACIONES SAS,541,"0,01"
2021,3,C & C VISION S.A.S.,3200,"0,04"
2021,3,ASOCIACION DE TELEVIDENTES DE MANI,211,0
2021,4,FIBERNET TV S.A.S,2853,"0,03"
2021,2,ASOCIACION DE TELEVISION TELEBOYACA,1249,"0,02"
2020,4,TELECOMUNICACIONES DEL CATATUMBO S.A.S.,824,"0,01"
2022,2,SOLUCIONES EN FIBRA OPTICA E INTERNET SOFI S.A.S,109,0
2022,2,CYBERNET INTERNET RURAL S.A.S.,50,0
2021,2,MEGARED COMUNICACIONES S.A.S.,785,"0,01"
2022,3,ELITE ON LINE SAS,168,0
2020,4,SOLUCIONES DIGITALES.COM S.A.S,66,0
2021,1,FCF COMUNICACIONES S.A.S.,1219,"0,01"
2020,4,AJFIBER.NET S.A.S.,65,0
2021,2,"WHOME ""WH SAS""",148,0
2021,4,BOR - CONEXIONES S A S,2416,"0,03"
2020,4,MERCANET SAS,79,0
2022,2,TELEDATA COLOMBIA S.A.S,8,0
2022,1,SERVICIOS Y SOLUCIONES DE COLOMBIA NET S.A.S,554,"0,01"
2022,1,TIRIAN TELECOMUNICACIONES S.A.S.,8021,"0,1"
2021,3,COMPA�IA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S.,41,0
2021,2,SOLUCIONES TECNOLOGICAS NUEVO MUNDO S.A.S,399,0
2021,2,LEGON TELECOMUNICACIONES S.A.S.,39613,"0,48"
2021,2,GTD COLOMBIA S.A.S.,488,0
2022,1,TV UNIDOS J&G S.A.S.,50,0
2021,1,EXODO 20 FIBRA OPTICA S.A.S.,958,"0,01"
2022,3,INTERMAX TELECOMUNICACIONES S.A.S,446,"0,01"
2022,1,INTERNET Y TELECOMUNICACIONES DE COLOMBIA S.A.S.,1256,"0,01"
2022,2,VOJ NETWORK CORP S.A.S,1387,"0,02"
2022,1,G&C INGENIEROS SAS,199,0
2021,3,TELECOMUNICACIONES DEL CATATUMBO S.A.S.,783,"0,01"
2022,3,COOPERATIVA MULTIACTIVA LA CUMBRE,757,"0,01"
2021,4,LOGISTICA INTEGRAL SATELITAL S.A.S.,12210,"0,14"
2021,2,EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.,631,"0,01"
2021,3,PCNET.COM S.A.S,432,"0,01"
2022,1,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,540,"0,01"
2020,4,KALU DE COLOMBIA SAS,2411,"0,03"
2021,1,CAQUEZA TV Y TELECOMUNICACIONES SAS,235,0
2022,1,UBIPREL S.A.S,901,"0,01"
2023,2,INTERNET DE ALTA VELOCIDAD SAS,71,0
2022,1,SERVIWISP S.A.S,34,0
2023,2,IDB FIBRA S.A.S,372,0
2021,2,L.C COMUNICACIONES E U,1108,"0,01"
2020,3,GTEL TELECOMUNICACIONES S.A.S.,636,"0,01"
2022,3,GTD COLOMBIA S.A.S.,519,0
2022,2,QME V SOLUCIONES TECNOLOGICAS SAS,10,0
2022,1,ALTITUD STUDIOS S A S,713,"0,01"
2021,2,TAR & TEC S.A.S.,32,0
2022,1,COLTEG COMUNICACIONES S.A.S,62,0
2022,3,CSSI TELECOMUNICACIONES SAS,819,"0,01"
2023,2,TICSCOM SAS,188,0
2020,4,CAMPO VIRTUAL VELOCIDAD SIMETRICA PARA TODOS SAS,1,0
2023,2,INVERSIONES Y COMUNICACIONES R.M. SAS,2503,"0,03"
2022,4,CELSIA COLOMBIA S.A. E.S.P.,38629,"0,43"
2022,4,PROYECTOVISION.CLICK ZOMAC S.A.S,372,0
2023,1,LINK EXPRESS.NET S.A.S.,324,0
2021,3,ORIENTE M�O TELECOMUNICACIONES S.A.S ZOMAC,1601,"0,02"
2021,4,REDESMAS.NET S.A.S,765,"0,01"
2022,3,TV SUR LTDA,78,0
2020,3,SARDINATA NETWORKS SAS,215,0
2023,2,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,465,"0,01"
2022,3,NEXO TELECOMUNICACIONES S.A.S.,38,0
2020,4,CABLE EXITO SAS,4933,"0,06"
2020,3,MOVETV S.A.S.,254,0
2022,3,RED PLANET TELECOMUNICACIONES SAS,1907,"0,02"
2021,2,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,204,0
2022,2,QUALITY NET JM S.A.S. ZOMAC,358,0
2022,2,AMETRONIC COMUNICACIONES SAS,11,0
2021,4,INTERMAX INTERNET INALAMBRICO S.A.S,101,0
2021,4,MARTZFIBRA S.A.S,460,"0,01"
2021,4,REDES TV SAT S.A.S,711,"0,01"
2021,1,HM TELECOMUNICACIONES DEL CAUCA SAS,1028,"0,01"
2021,2,ERT SA ESP,10040,"0,12"
