AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2022,2,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,767,"0,01"
2022,2,OPTILINK SAS,1092,"0,01"
2021,4,DRG-SOLUCIONES SAS,98,0
2022,2,INTERPROJECT COMUNICACIONES S.A.S.,62,0
2021,4,INTERNORTE DIGITAL S.A.S.,403,0
2022,3,NETSLINK S.A.S,457,"0,01"
2021,4,NARENET S.A.S ZOMAC,188,0
2022,2,C & B TELECOMUNICACIONES SAS,27,0
2022,1,ENIGMA IMCT SAS,829,"0,01"
2022,3,SUPERFIBRAS COLOMBIA SAS,2266,"0,03"
2022,3,MEGANET TV S.A.S,1323,"0,02"
2021,1,CABLE YUMA SAS,541,"0,01"
2023,2,INTERCOM DE TELECOMUNICACIONES S.A.S,121,0
2021,3,LOGISTICA EN TELECOMUNICACIONES S.A.S.,1706,"0,02"
2021,1,MEDIA COMMERCE PARTNERS S.A.,12030,"0,14"
2020,3,LOGISTICA EN TELECOMUNICACIONES S.A.S.,1065,"0,01"
2022,2,ZABUD NET S.A.S.,476,"0,01"
2020,4,ALFASURT TV CABLE SAS.,1522,"0,02"
2022,2,POWERLINK TELECOMUNICACIONES S.A.S,33,0
2022,3,HARD SYSTEM TELECOMUNICACIONES S.A.S,126,0
2022,1,UFINET COLOMBIA S.A,165,0
2021,3,IPCOM SISTEMAS S.A.S,450,"0,01"
2020,4,WIRELESS COMMUNICATIONS COLOMBIA S.A.S. - WIRLCOMM S.A.S.,316,0
2022,1,COVINET INGENIERIA SAS,482,"0,01"
2021,2,ITELKOM S.A.S.,898,0
2021,2,COGENT COLOMBIA S.A.S,6,0
2022,2,ID INTEGRACION DIGITAL SAS,195,0
2020,4,SERVYCOM COLOMBIA SAS,1510,"0,02"
2021,3,BANSAT S.A.,289,0
2021,4,WIDE GROUP S.A.S,57,0
2021,2,COMPUSEB SOLUTIONS SAS,862,"0,01"
2023,2,M@STV PRODUCCIONES SAS,13168,"0,15"
2021,2,CONECTANDO FRONTERAS S.A.S,630,"0,01"
2021,4,CSSI TELECOMUNICACIONES SAS,776,"0,01"
2021,2,ASOCIACION DE TELEVIDENTES DE MANI,125,0
2021,2,ELECTRONICA Y TELECOMUNICACIONES DE COLOMBIA S. A. S. - ETELCO S. A. S.,302,0
2022,2,ALK NET LTDA,2462,"0,03"
2021,4,SERVICIOS Y SOLUCIONES EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S,332,0
2021,2,ABIEL.NET SAS,120,0
2021,3,COVINET INGENIERIA SAS,417,0
2021,3,HUGHES DE COLOMBIA S.A.S.,43053,"0,51"
2022,2,MY GLOBALMEK SOLUTIONS S.A.S,8,0
2023,2,INTER FIBRA SAS E.S.P.,122,0
2023,2,CABLE SAS,2138,"0,02"
2023,2,SYSNETWORK NETSA SAS,690,"0,01"
2023,2,CABLE NET UNIVERSAT S.A.S,871,"0,01"
2023,2,RADIO FRECUENCIA COMUNICACIONES S A S,975,"0,01"
2022,2,ZULDEMAYDA COMUNICACIONES,208,0
2020,3,INVERSIONES GERIOS S.A.S.,229,0
2023,2,BARULE TELECOMUNICACIONES S.A.S.,376,0
2022,1,IST INGENIERIA Y SOLUCIONES TECNOLOGICAS S.A.S,505,"0,01"
2021,3,WISP TELECOMUNICACIONES SAS,959,"0,01"
2022,1,ACERONETTV SOCIEDAD POR ACCIONES SIMPLIFICADA,200,0
2022,2,SINTEL WISP S.A.S,50,0
2021,4,SERVICIOS Y SOLUCIONES TV S.A.S.,247,0
2022,3,ENLACES.NET.HUILA SAS,12,0
2021,2,DIASCON INGENIERIA S.A.S,8,0
2021,3,POLINET TELECOMUNICACIONES COLOMBIA SAS,9,0
2021,2,SISTELME SAS,103,0
2022,1,FIBRANET SAS,802,"0,01"
2021,3,WIFI ALTERNATIVO S.A.S,376,0
2022,1,INTERED COLOMBIA S.A.S,629,"0,01"
2021,3,KONECTATE WISP S.A.S,23,0
2020,3,VOJ NETWORK CORP S.A.S,3060,"0,04"
2021,2,IMB INGENIERIA EN REDES SAS,600,"0,01"
2021,3,VIVANET SAS,13,0
2021,2,KERUV TELECOMUNICACIONES S.A.S,119,0
2021,2,CABLEMAS S.A.S,7910,"0,09"
2021,2,H V TELEVISION S.A.S.,102978,"1,25"
2021,3,MICEL COMUNICACIONES S.A.S,86,0
2022,3,WIDE GROUP S.A.S,314,0
2020,4,MELO VARGAS HECTOR JULIAN,422,"0,01"
2022,1,NET2COM SAS,466,"0,01"
2021,1,TECNOLOGIAS MERCATECH S.A.S,661,"0,01"
2021,1,REDES F.OPTICAS S.A.S.,1494,"0,02"
2021,2,OPITASENLINEA S.A.S.,102,0
2020,4,TELECOMUNICACIONES URMED S.A.S,247,0
2021,1,INVERSIONES RIASCOS CARDENAS SAS,1,0
2021,1,LAN REDES S.A.S,340,0
2021,4,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,588,"0,01"
2022,3,CABLENETBAG S.A.S,1357,"0,02"
2021,4,CORPORACION DE COPROPIETARIOS DE LA SE�AL PARABOLICA DE ABEJORRAL COSPABE,990,"0,01"
2022,3,FAST NET COMUNICACIONES ISP SAS,628,"0,01"
2020,3,CENTURYLINK COLOMBIA S.A.,1882,"0,01"
2022,1,CODISERT S.A.,15475,"0,18"
2022,1,COOPERATIVA MULTIACTIVA LA CUMBRE,1154,"0,01"
2021,2,CABLENETWORK COMUNICACIONES S.A.S.,63,0
2021,3,REMG INGENIERIA SAS,201,0
2022,2,ASOCIACION CONCEPCION TELECOMUNICACIONES,196,0
2021,1,CENTRAL DE SERVICIOS DIGITALES S.A.S.,1467,"0,02"
2021,2,TEXEL GROUP S.A.S.,70,0
2022,1,NEXT CONNECTION S.A.S,26,0
2020,4,GPM ELECTROCOM S.A.S.,24,0
2021,3,TAR & TEC S.A.S.,58,0
2021,1,OPTICLINE PLUS TELECOMUNICACIONES S.A.S.,139,0
2021,3,FCF COMUNICACIONES S.A.S.,1350,"0,02"
2021,2,TELECOMUNICACIONES INGENIER�A Y MERCADEO S.A.S.,1488,"0,02"
2020,3,AROS COMUNICACIONES LIMITADA,554,"0,01"
2022,3,INTERCONETXIONES FTTH S.A.S,58,0
2023,2,POWERLINK SERVICES SAS,145,0
2021,2,ZUMACOMUNICACIONESDECOLOMBIASA,1413,"0,02"
2021,3,FIBERCOM TV S.A.S,1075,"0,01"
2022,2,GMARTEL SOLUCIONES INTEGRALES Y TELECOMUNICACIONES S.A.S,621,"0,01"
2020,3,MEGAS.NET S.A.S.,81,0
2021,3,EXODO 20 FIBRA OPTICA S.A.S.,782,"0,01"
2022,1,"INGENIER�A EN MANTENIMIENTO Y MONTAJES DE REDES ELECTRICAS, DE COMUNICACIONES Y AUTOMATIZACI�N SAS",101,0
2021,4,MAZCSYSTEM COMUNICACIONES SAS,128,0
2023,2,SINTEL ISP SAS,57,0
2023,2,INTERTV INTERNET Y TELEVISION POR CABLE S.A.S,6,0
2023,2,SERVIRED COMUNICACIONES S.A.S,342,0
2022,1,CENTRAL NET SOLUCIONES INTEGRALES SAS,228,0
2022,4,COVINET INGENIERIA SAS,443,0
2022,4,SISTEMAS Y TELECOMUNICACIONES DEL ORIENTE SAS,26241,"0,29"
2023,2,S.A TELECOMUNICACIONES FINET S.A.S.,81,0
2022,4,COLOMBIA MAS TV SAS,29835,"0,33"
2021,2,ANTENA DE TELEVISION YUMBO S.A.S,25,0
2021,4,WISP TELECOMUNICACIONES SAS,1161,"0,01"
2022,2,UNICOM S.A.S.,414,0
2021,1,CABLE NET CUCUTA SAS,972,"0,01"
2020,3,CABLE SAS,1865,"0,02"
2020,4,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,599,"0,01"
2021,1,DIALNET DE COLOMBIA S.A   ESP.,25768,"0,32"
2021,3,SERVICIOS INTEGRALES DE TELECOMUNICACIONES TURISMO ENERGIA Y CONSTRUCCION SERVIT,494,"0,01"
2020,3,MARTZFIBRA S.A.S,220,0
2020,4,ASOCIACI�N ANTENA PARAB�LICA DEL SOCORRO,1100,"0,01"
2021,2,INTELCOM CALI SAS,906,"0,01"
2022,3,MEGAHER S.A.S,20,0
2022,2,SERVIREDES CALI SAS,323,0
2023,2,TELCOSUR S.A.S ZOMAC,245,0
2020,3,CAFETEL TV SAS,497,"0,01"
2021,1,RADIOSAT ISP SAS,1,0
2022,1,SERVICONECTION SAS,631,"0,01"
2021,4,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,6689,"0,07"
2021,1,FW TELECOMUNICACIONES ZOMAC S.A.S,247,0
2021,4,TELENET DE COLOMBIA COMUNICACIONES SAS,47,0
2022,2,TIERRANET S.A.S.,778,"0,01"
2021,3,T&T TECNOLOGIAS S.A.S ZOMAC,175,0
2021,3,TELENET DATOS.NET S.A.S,535,"0,01"
2020,4,SERVICIOS TECNOLOGICOS ICOMREDES S.A.S,347,0
2021,2,INTELRED GROUP SAS,757,"0,01"
2022,2,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,609,"0,01"
2021,3,ANS COMUNICACIONES LTDA,21,0
2021,3,TECNOFUTURO 25 S.A.S,18,0
2022,2,ASOCIACI�N ANTENA PARAB�LICA DEL SOCORRO,1173,"0,01"
2020,4,INTERVID TELECOMUNICACIONES S.A.S.,256,0
2022,1,MAX TV SAS,1067,"0,01"
2021,3,K & L COMUNICACIONES HATO S.A.S,525,"0,01"
2021,4,RURALINK S.A.S,36294,"0,43"
2022,2,YTV COMUNICACIONES S.A.S,377,0
2022,1,BANSAT S.A.,313,0
2021,4,INTERPROJECT COMUNICACIONES S.A.S.,62,0
2021,3,MEDIATEL TELECOMUNICACIONES SAS,308,0
2021,4,AROS COMUNICACIONES LIMITADA,512,"0,01"
2021,2,INTERCOM COLOMBIA LTDA,236,0
2022,3,KERUV TELECOMUNICACIONES S.A.S,78,0
2021,3,SOFIVER SAS,229,0
2021,1,BITS PLAY S.A.S.,335,0
2021,1,GC HOGAR.NET S.A.S.,249,0
2020,3,SYSTEL COMUNICACIONES CARTAGO S.A.S.,2162,"0,03"
2022,1,KERUV TELECOMUNICACIONES S.A.S,57,0
2022,3,DIGICOMS SAS,763,"0,01"
2021,4,CABLEFUTURO TV S.A.S,1080,"0,01"
2020,3,EDATEL S.A.,187219,"2,42"
2022,1,PROMOTORA DE TELEVISION. INTERNET Y COMUNICACIONES SAS,2529,"0,02"
2022,2,INGEMTEL S.A.S,1213,"0,01"
2022,1,HIGHTECH INGENIERIA Y TRANSPORTE,339,0
2022,3,GENIONET TELECOMUNICACIONES SAS,3055,"0,03"
2021,1,REDES INTELIGENTES GG S A S,1403,"0,02"
2020,3,WI-SAT COMUNICACIONES S.A.S.,10,0
2021,2,ALK NET LTDA,1302,"0,01"
2020,3,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,405,"0,01"
2020,3,TELEMATICS NETWORK SAS,1125,"0,01"
2022,2,JHON JAIRO MESA MESA E INGENIEROS ASOCIADOS SAS  JJMMELECTRONICS S.A.S.,1354,"0,01"
2022,2,MACRODESK COMUNICACIONES S.A.S,522,0
2021,2,U2RED S.A.S,53,0
2021,3,SILCOM TELECOMUNICACIONES S.A.S.,889,"0,01"
2021,3,TELENET DIGITAL S.A.S.,1104,"0,01"
2022,3,KABLE NET J & J S.A.S.,202,0
2021,4,EMPRESA DE TELECOMUNICACIONES IQUINET INGENIERIA S.A.S.,2262,"0,03"
2021,2,PRODITEL SAS,233,0
2022,3,CODISERT S.A.,15769,"0,18"
2022,3,STC COMUNICACIONES S. A. S.,2,0
2023,2,BITELEC S.A.S,1,0
2023,2,ARM TELECOMUNICACIONES SAS,39,0
2023,2,XPERTIC S.A.S.,18,0
2022,2,TELECOMUNICACIONES DEL CATATUMBO S.A.S.,640,"0,01"
2020,4,UBIPREL S.A.S,605,"0,01"
2022,3,AVIDTEL E.U.,5045,"0,06"
2020,4,INTERNET AL CAMPO S.A.S.,323,0
2021,2,REDES INTEGRALES DE TELECOMUNICACIONES AYG SAS,1855,"0,02"
2022,3,ELITE REDES & COMUNICACIONES SAS,7,0
2021,3,WALIX S.A.S.,2894,"0,03"
2021,4,TELNET DE OCCIDENTE S.A.S. ZOMAC,436,"0,01"
2023,2,RURAL NET TELECOMUNICACIONES S.A.S,692,"0,01"
2022,1,ZAFIRO TELECOMUNICACIONES SAS,36,0
2022,3,ACHITEL SAS,167,0
2022,3,WINS SOLUCIONES SAS,40,0
2022,3,RA COSMOS TELECOMUNICACIONES S.A.S.,578,"0,01"
2020,3,WISP TELECOMUNICACIONES SAS,759,"0,01"
2022,2,PUNTONET COMUNICACIONES SAS,2,0
2020,3,TIVIT COLOMBIA TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S.A.S,7,0
2022,1,VIP SERVICIOS INTELIGENTES S.A.S,202,0
2023,2,SERKOI SERVICIOS DE CONECTIVIDAD INALAMBRICA SAS,954,"0,01"
2022,1,WISPER INTERNET INALAMBRICO S.A.S,107,0
2020,4,AIM CONNECT SAS,93,0
2021,3,TPE COMUNICACIONES COLOMBIA SAS,308,0
2022,1,ASOCIACION DE ANTENA PARABOLICA  COMUNITARIA SIN ANIMO DE LUCRO SAN ROQUE,469,"0,01"
2021,2,JHEDA COMUNICACIONES SAS,130,0
2020,3,NETPLUS TELECOMUNICACIONES SAS,90,0
2022,3,TECNOSERVICOM S.A.S.,233,0
2021,3,SERTELCON S.A.S.,48,0
2021,1,TOTAL BAND COMUNICACIONES S.A.S,263,0
2022,3,LA RED.G TELECOMUNICACIONES S.A.S,260,0
2021,1,AROS COMUNICACIONES LIMITADA,554,"0,01"
2022,2,OK COMUNICACIONES SERVICIOS DE INGENIERIA Y REDES SAS,36,0
2022,1,WIFIMAX NETWORK S.A.S,159,0
2021,2,BYC TECNOLOGIA Y SERVICIOS SAS,297,0
2022,3,COMUNICACIONES JERV SAS,65,0
2021,4,HIGHTECH INGENIERIA Y TRANSPORTE,667,"0,01"
2021,3,MANAR.NET S.A.S.,142,0
2021,1,T&C COMUNICACIONES ANTIOQUIA S.A.S,25,0
2021,4,LECARVIN SAS,7087,"0,08"
2021,1,COCOM S.A.S,1778,"0,02"
2022,3,SOL CABLE VISION S. A. S. - E. S. P.,1003,"0,01"
2022,4,UNE EPM TELECOMUNICACIONES S.A.,1779981,"19,97"
2022,3,"INGENIER�A EN MANTENIMIENTO Y MONTAJES DE REDES ELECTRICAS, DE COMUNICACIONES Y AUTOMATIZACI�N SAS",197,0
2020,4,MEGANET TV S.A.S,834,"0,01"
2020,4,MEGANET TELECOMUNICACIONES S.A.S,266,0
2022,3,EMPRESA DE TECNOLOG�A Y COMUNICACIONES 7 S.A.S ZOMAC,156,0
2023,2,AIM CONNECT SAS,116,0
2021,1,SOLUCIONES DIGITALES.COM S.A.S,120,0
2023,2,NET ISP SAS,4306,"0,05"
2020,3,WIRETEL S.A.S.,94,0
2022,3,MORA COMUNICACIONES SAS,2,0
2021,2,ALNET TELECOMUNICACIONES S.A.S,61,0
2022,2,ON-LINE INGENIERIA S.A.S,219,0
2022,3,TORNET COMUNICACIONES S.A.S,946,"0,01"
2022,1,CABLE Y TELECOMUNICACIONES DE COLOMBIA S.A.S. CABLETELCO,7209,"0,09"
2021,3,CISNEROS TELECOMUNICACIONES S.A.S,176,0
2021,2,WIFIMAX NETWORK S.A.S,120,0
2020,4,BETEL SOLUCIONES S.A.S.,3591,"0,05"
2020,3,UNICOM S.A.S.,131,0
2020,3,AT�T GLOBAL NETWORK SERVICES COLOMBIA LTDA.,2,0
2021,2,B GROUP INGENIERIA S.A.S,1019,"0,01"
2023,2,DATA-TELC COMUNICACIONES SAS,922,"0,01"
2021,1,SOFIVER SAS,120,0
2021,4,ARM TELECOMUNICACIONES SAS,47,0
2023,2,LAN REDES S.A.S,384,0
2022,4,CAMPO VIRTUAL VELOCIDAD SIMETRICA PARA TODOS SAS,27,0
2023,2,GLOBAL CONNECTION TICS TICS S.A.S,4,0
2022,1,FIBRA100 S.A.S.,1630,"0,02"
2021,4,PROYECTOVISION.CLICK ZOMAC S.A.S,400,0
2023,2,COLOMBIACOM SAS,29,0
2020,3,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,762,"0,01"
2022,4,WIFFITEL TELECOMUNICACIONES SAS,4620,"0,05"
2023,2,CONEXI�N TOTAL A INTERNET S.A.S,854,"0,01"
2020,4,SOLINGWEB. NET S.A.S.,26,0
2020,4,IO SUPPLY S.A.S.,132,0
2021,1,GLOBAL DE SERVICIOS COMPANY S.A.S,8,0
2021,2,ASOCIACION DE ANTENA PARABOLICA  COMUNITARIA SIN ANIMO DE LUCRO SAN ROQUE,408,0
2020,4,@DIGITAL GROUP SAS,357,0
2023,2,NET2COM SAS,1023,"0,01"
2021,1,TELECOMMUNICATIONS ADVANCE GROUP S.A.S.,775,"0,01"
2020,4,RIS TELECOMUNICACIONES RED INALAMBRICA SATELITAL SAS,81,0
2020,4,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,2586,"0,03"
2020,4,INTERNORTE DIGITAL S.A.S.,364,0
2020,3,REDES DIGITALES SAN CARLOS SAS,464,"0,01"
2021,4,JHEDA COMUNICACIONES SAS,215,0
2021,1,LOGISTICA INTEGRAL SATELITAL S.A.S.,5720,"0,07"
2021,2,SERVICTEK S.A.S,78,0
2020,3,GLOBAL PLAY SAS,294,0
2023,2,CABLE EXITO SAS,14794,"0,16"
2022,3,TURBO REDES TELECOMUNICACIONES S.A.S.,1012,"0,01"
2021,4,GPM ELECTROCOM S.A.S.,19,0
2021,3,COLOMBIACOM SAS,3,0
2022,3,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,1060,"0,01"
2021,1,CONVERGENCIA DIGITAL S.A.S.,124,0
2022,2,DIFUDATOS S A S,2026,"0,02"
2021,2,S.I.G.I - SISTEMA INTEGRAL DE GESTION INFORMATICA S.A.S.,17,0
2022,2,REDESBOL.TV SAS,251,0
2021,4,ANDINA COMUNICACIONES SAS,243,0
2021,1,CAMPOCOM SAS,200,0
2022,2,CONEXIONES TECNOLOGICAS Y COMUNICACION SAS,15632,"0,18"
2020,4,CABLELINEA S.A.S.,3202,"0,04"
2020,3,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,2080,"0,03"
2021,3,SANTELELLANO SAS,433,"0,01"
2021,4,HIZ TELECOMUNICACIONES S.A.S,2024,"0,02"
2020,4,ADMINISTRADORA DE REDES Y SERVICIOS ADMINRED S.A.S.,430,"0,01"
2022,2,TEVECOM SAS,631,0
2023,2,STREAMFAST S.A.S.,47,0
2022,3,WISP SUCRE S.A.S.,218,0
2022,1,VALLE TELECOMUNICACIONES SAS,840,"0,01"
2022,1,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,63,0
2020,3,SERVINET REDES Y SISTEMAS SAS ZOMAC,175,0
2022,1,ELITE ON LINE SAS,35,0
2020,3,EXODO 20 FIBRA OPTICA S.A.S.,823,"0,01"
2021,1,ACERDI SOLUCIONES INTELIGENTE S.A.S,523,"0,01"
2020,3,COLOMBIA MAS TV SAS,18472,"0,23"
2022,3,ZAFIRO TELECOMUNICACIONES SAS,106,0
2022,1,FLASHNET COMUNICACIONES S.A.S.,80,0
2021,1,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,150,0
2020,4,INFINITELCOM SOLUCIONES S.A.S,19,0
2021,4,FIBERTEC CONEXION S.A.S,444,"0,01"
2020,4,INTERCOM COLOMBIA LTDA,215,0
2020,3,3NET TELECOMUNICACIONES SAS,176,0
2021,3,OPTIMO NET SAS,127,0
2020,4,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,692,"0,01"
2021,4,FIBERNET COLOMBIA S.A.S,1720,"0,02"
2020,3,REDECONES DE OCCIDENTE S.A.S.,15,0
2021,3,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,2236,"0,03"
2021,4,ISANET TELECOMUNICACIONES SAS,2,0
2022,1,CSSI TELECOMUNICACIONES SAS,788,"0,01"
2021,1,DIAMOND SECURITY SYSTEMS S.A.S,43,0
2022,3,RED UNO S.A,6,0
2021,4,C & C VISION S.A.S.,3600,"0,04"
2022,1,ASOCIACION DE TELEVIDENTES DE GUACHETA,354,0
2021,3,RADIONET SOLUCIONES S.A.,855,"0,01"
2023,2,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,544,"0,01"
2023,2,PUNTO RED TELECOMUNICACIONES S.A.S,2160,"0,02"
2023,2,ENLAZAR COMUNICACIONES S.A.S,1422,"0,02"
2023,2,RESOLUTIVA EMPRESA DE SOLUCIONES S.A.S.,21,0
2023,2,DIGITALINTER S.A.S.,157,0
2023,2,WIRELESS COLOMBIA S.A.S.,3937,"0,04"
2023,2,B GROUP INGENIERIA S.A.S,1416,"0,02"
2023,2,ALFA RED ENERGIA Y TELECOMUNICACIONES SAS,59,0
2022,2,NETWORK-TICS SAS,60,0
2022,3,CANO&CANOS S.A.S,530,"0,01"
2021,1,SUPERFIBRAS COLOMBIA SAS,2015,"0,02"
2021,3,CABLELINEA S.A.S.,4139,"0,05"
2020,3,SOL CABLE VISION S. A. S. - E. S. P.,1877,"0,02"
2022,3,CONNECT TELECOMUNICACIONES SAS,823,"0,01"
2021,3,G&C INGENIEROS SAS,171,0
2022,1,POLINET TELECOMUNICACIONES COLOMBIA SAS,15,0
2020,4,ASISTENCIA COMUNICACIONES S.A.S,1469,"0,02"
2021,2,SECO S.A.S.,481,"0,01"
2023,2,COLRED INGENIERIA S.A.S,169,0
2021,4,LA RED.G TELECOMUNICACIONES S.A.S,114,0
2021,4,ASOCIACION DE COPROPIETARIOS DEL SISTEMA DE TELECOMUNICACIONES VILLAPINZON,32,0
2022,3,SITELINKS SAS,710,"0,01"
2021,1,INVERSIONES ACOSTA VERGARA S.A.S.,10,0
2023,2,CORPORACION  ANTENA PARABOLICA DON MATIAS,143,0
2021,3,UBIPREL S.A.S,698,"0,01"
2022,1,COMPA�IA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S.,30,0
2021,3,ESG COMUNICACIONES S.A.S,1643,"0,02"
2020,4,ALFANET TV S.A.S,1359,"0,02"
2021,2,AVIDTEL E.U.,3723,"0,04"
2022,2,SERVICTEK S.A.S,62,0
2021,3,OPTICLINE PLUS TELECOMUNICACIONES S.A.S.,296,0
2021,4,IMB INGENIERIA EN REDES SAS,700,"0,01"
2023,2,TV SUR LTDA,0,0
2021,4,CABLEMAG TELECOMUNICACIONES LTDA,3508,"0,04"
2022,3,INTER REDES DEL MAGDALENA SAS,705,"0,01"
2021,3,RIONEGRO TELECOMUNICACIONES S.A.S.,198,0
2022,2,CONSULNETWORKS S.A. E.S.P.,722,"0,01"
2022,3,ENTER TELECOMUNICACIONES BANDA ANCHA SAS,1059,"0,01"
2022,3,"ATYCO - ASESORIAS, TECNOLOGIA Y COMUNICACIONES S.A.S",604,"0,01"
2022,2,FIBER NET COMUNICACI�N SUPERIOR S.A.S,203,0
2021,3,GC HOGAR.NET S.A.S.,204,0
2021,4,"AIRWEB TELECOMUNICACIONES SAS ""ZOMAC""",468,"0,01"
2022,3,CALDAS DATA COMPANY LTDA CADCOM,4904,"0,06"
2020,3,ADMINISTRADORA DE REDES Y SERVICIOS ADMINRED S.A.S.,448,"0,01"
2021,3,VELONET S.A.S,9260,"0,11"
2021,3,CPM SOLUCIONES INTEGRALES S. A. S.,24,0
2021,2,TV ZONA BANANERA S.A.S,196,0
2020,3,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,1212,"0,02"
2023,2,ASOCIACION DE ANTENA PARABOLICA  COMUNITARIA SIN ANIMO DE LUCRO SAN ROQUE,569,"0,01"
2021,3,AMETRONIC COMUNICACIONES SAS,9,0
2022,2,FENIX SOLUTION WIRELESS S.A.S.,5,0
2021,4,DIALNET DE COLOMBIA S.A   ESP.,63587,"0,75"
2022,1,DIFUDATOS S A S,1859,"0,02"
2022,3,AJFIBER.NET S.A.S.,471,"0,01"
2021,3,PLANET TELECOM COLOMBIA S.A.S.,405,0
2022,3,INTELCOM CALI SAS,1628,"0,02"
2021,3,SISTEMAS COMPUTARIZADOS DEL HUILA S.A.S.,543,"0,01"
2022,3,LA CORPORACION PRO ACODEMA,2129,"0,02"
2022,2,ASOCIACION DE TELEVIDENTES DE GUACHETA,354,0
2020,3,INGENIERIA E INFORMATICA EMPRESA ASOCIATIVA DE TRABAJO,217,0
2021,4,CITYNET ISP SAS,406,0
2022,3,RED DIGITAL TELECOMUNICACIONES S.A.S.,403,0
2021,4,NETWORK DAT@LINK S.A.S.,1343,"0,02"
2022,1,CABLE NAR S.A.S.,65,0
2020,4,DESARROLLOS Y REDES S.A.S.,893,"0,01"
2022,2,LOGISTICA INTEGRAL SATELITAL S.A.S.,10107,"0,12"
2021,4,NETTWINS S.A.S.,55,0
2023,2,INNOVA SERVICE UNLIMITED S.A.S,400,0
2023,2,M&M ELECTRICIDAD Y MANTENIMIENTO SAS,90,0
2023,2,WIRETEL S.A.S.,191,0
2021,3,ASISTEC COMPUTADORES S.A.S,1178,"0,01"
2023,2,FAST NET COMUNICACIONES ISP SAS,585,"0,01"
2023,2,TELENET DE COLOMBIA COMUNICACIONES SAS,43,0
2023,2,FIVE BROTHERS S.A.S,3,0
2023,2,LOGISTICA INTEGRAL SATELITAL S.A.S.,11416,"0,13"
2023,2,OCCITEL TELECOMUNICACIONES SAS,275,0
2021,2,GLOBALTRONIK S.A.S,1248,"0,02"
2020,4,TECNO MELCON SAS,52,0
2020,3,GRUPO BELCOM DE COLOMBIA S A S,212,0
2022,3,DIGITAL HOLDINGS SAS,8,0
2022,1,HOLANET TELECOMUNICACIONES S.A.S,77,0
2022,2,GPON TECHNOLOGY S.A.S,127,0
2022,1,ANTELNET COMUNICACIONES S.A.S.,112,0
2023,2,NUBENET S.A.S,702,"0,01"
2021,1,INVERSIONES Y COMUNICACIONES SATELITALES - INVERSAT S.A.S.,494,"0,01"
2021,3,COMPUNETWORK RENTING S.A.S,30,0
2022,3,ACERONETTV SOCIEDAD POR ACCIONES SIMPLIFICADA,168,0
2020,3,NEIA SAS,182,0
2021,3,JASTANET SAS,1182,"0,01"
2021,3,WORLD CONNECTIONS S.A.S.,1181,"0,01"
2021,4,UNIMOS EMPRESA MINICIPAL DE TELECOMUNICACIONES DE IPIALES S.A. E.S.P.,2210,"0,03"
2021,1,INTER-LIND@ SAS,100,0
2022,2,"SOCIEDAD DE TELEVISION, MERCADEOS Y TELECOMUNICACIONES S.A.S",1078,"0,01"
2022,1,ZUMACOMUNICACIONESDECOLOMBIASA,1752,"0,02"
2021,4,TURBOMAX TELECOMUNICACIONES S.A.S.,351,0
2022,1,NETSLINK S.A.S,456,"0,01"
2020,4,QUALITY NET JM S.A.S. ZOMAC,297,0
2021,1,INGEMTEL S.A.S,452,"0,01"
2022,3,ON-LINE INGENIERIA S.A.S,353,0
2022,2,GRUPO UNO TELECOMUNICACIONES SAS,2376,"0,04"
2021,2,LIGA DE TELEVIDENTES Y SERVICIOS COMUNITARIOS DEL MUNICIPIO DE CHIA,1304,"0,02"
2022,3,INSITEL S.A.S.,15053,"0,17"
2020,3,COMUNICACIONES REDES Y ENLACES SAS,639,"0,01"
2022,3,RURAL NET COMUNICACIONES S.A.S,17,0
